Date,IIP_yoy_pct,IIP_mom_pct,IIP_level,CPI_yoy_pct,CPI_mom_pct,CPI_level,Credit_yoy_pct,Credit_stock_VNDbn,ON_avg_monthly_interbank_rate,MP_shock_monthly,Age65_percent,Age65_z_m,AI_index_zavg,AI_index_pc1
2017-01-05,26.93499345,1.7,161.835532,3.179057526,-0.53,113.9918536,19.96130155,5891669.0,3.7519,-0.323372787,6.767739639,-0.6073185869019808,-0.617051289374934,-0.7113461981435624
2017-01-06,26.05611615,0.4,162.4828741,2.532005901,-0.17,113.7980675,19.12384357,6001383.0,2.1705,0.28106947,6.767739639,-0.6073185869019808,-0.7100332944533336,-0.8045703179085614
2017-01-07,25.19187246,1.4,164.7576344,2.511526123,0.11,113.9232453,18.17492815,6032680.0,1.2025,0.530888978,6.767739639,-0.6073185869019808,-0.6454073845868492,-0.74652825008018
2017-01-08,29.04201933,3.9,171.1831821,3.351280883,0.92,114.9713392,19.49212057,6099921.0,0.5661,-1.601583356,6.767739639,-0.6073185869019808,-0.6024780454465819,-0.6991005485223615
2017-01-09,24.92365701,0.1,171.3543653,3.402678973,0.59,115.6496701,18.8468661,6177691.0,0.726,0.363278018,6.767739639,-0.6073185869019808,-0.6239511249270882,-0.7109390945299612
2017-01-10,27.28070714,8.0,185.0627145,2.971962667,0.41,116.1238338,19.36194137,6260763.0,0.7427,-0.874270743,6.767739639,-0.6073185869019808,-0.572762594131672,-0.6486312115170686
2017-01-11,28.2789872,2.8,190.2444705,2.613282463,0.13,116.2747947,19.05713164,6370509.0,0.9891,-0.10196171,6.767739639,-0.6073185869019808,-0.5837566730529067,-0.6579562268755694
2017-01-12,24.97093308,2.0,194.0493599,2.5928069,0.21,116.5189718,14.97271954,6329715.0,0.9779,3.724119825,6.767739639,-0.6073185869019808,-0.54476327945125,-0.6247501142503491
2018-01-01,28.7014087,-3.4,187.4516817,2.643868421,0.51,117.1132186,14.02564261,6390566.0,1.741818,0.878782318,6.981619537,-0.37278470849190304,-0.6040944086550583,-0.6794534910392868
2018-01-02,8.982091738,-17.1,155.3974441,3.155910067,0.73,117.9681451,14.52170691,6416397.0,2.421333,-0.455542568,6.981619537,-0.37278470849190304,-0.6853199185578503,-0.7813274628331561
2018-01-03,18.96000769,22.8,190.8280614,2.661799331,-0.27,117.6496311,14.08046517,6555278.0,0.905,0.611038393,6.981619537,-0.37278470849190304,-0.5000655265473836,-0.5789541400862697
